,case_no,subcase_no,case_count,node_count,p_node_fail_min,p_node_fail_max,retires_min,retires_max,priority_min,priority_max,path_len,path_count,sla
0,1,1,10,25,0.01,0.3,1,2,1,1,2000,1,2.480639641131005e-06
1,1,2,10,25,0.01,0.3,1,2,1,1,2000,1,0.00036963698109776695
2,1,3,10,25,0.01,0.3,1,2,1,1,2000,1,1.476962684085465e-11
3,1,4,10,25,0.01,0.3,1,2,1,1,2000,1,4.380549599902853e-08
4,1,5,10,25,0.01,0.3,1,2,1,1,2000,1,2.2821789799270907e-06
5,1,6,10,25,0.01,0.3,1,2,1,1,2000,1,1.1430183680801947e-19
6,1,7,10,25,0.01,0.3,1,2,1,1,2000,1,5.977591500483575e-05
7,1,8,10,25,0.01,0.3,1,2,1,1,2000,1,7.723531804502743e-11
8,1,9,10,25,0.01,0.3,1,2,1,1,2000,1,1.3615212858341297e-14
9,1,10,10,25,0.01,0.3,1,2,1,1,2000,1,5.465290826812273e-09
10,2,1,10,25,0.01,0.3,1,2,1,1,2000,1,1.6556893831210417e-78
11,2,2,10,25,0.01,0.3,1,2,1,1,2000,1,7.507902133882866e-42
12,2,3,10,25,0.01,0.3,1,2,1,1,2000,1,3.3085922900565622e-49
13,2,4,10,25,0.01,0.3,1,2,1,1,2000,1,1.232095373080791e-34
14,2,5,10,25,0.01,0.3,1,2,1,1,2000,1,9.442504900293866e-28
15,2,6,10,25,0.01,0.3,1,2,1,1,2000,1,5.684482793336636e-47
16,2,7,10,25,0.01,0.3,1,2,1,1,2000,1,1.7848248889150224e-110
17,2,8,10,25,0.01,0.3,1,2,1,1,2000,1,2.1755275679842578e-70
18,2,9,10,25,0.01,0.3,1,2,1,1,2000,1,3.00504943955057e-63
19,2,10,10,25,0.01,0.3,1,2,1,1,2000,1,5.293576978602227e-60
20,3,1,10,25,0.01,0.3,1,2,1,1,2000,1,0.010722583872202568
21,3,2,10,25,0.01,0.3,1,2,1,1,2000,1,0.007221510332233613
22,3,3,10,25,0.01,0.3,1,2,1,1,2000,1,0.0005973116047190363
23,3,4,10,25,0.01,0.3,1,2,1,1,2000,1,2.1354166356551196e-06
24,3,5,10,25,0.01,0.3,1,2,1,1,2000,1,0.0007958828755819294
25,3,6,10,25,0.01,0.3,1,2,1,1,2000,1,1.1727187856702233e-07
26,3,7,10,25,0.01,0.3,1,2,1,1,2000,1,0.0027369786123904475
27,3,8,10,25,0.01,0.3,1,2,1,1,2000,1,3.58325337693726e-05
28,3,9,10,25,0.01,0.3,1,2,1,1,2000,1,1.8715773125823935e-06
29,3,10,10,25,0.01,0.3,1,2,1,1,2000,1,0.009097831460152812
30,4,1,10,25,0.01,0.3,1,2,1,1,2000,1,1.6110310010896248e-07
31,4,2,10,25,0.01,0.3,1,2,1,1,2000,1,0.0006417022731072144
32,4,3,10,25,0.01,0.3,1,2,1,1,2000,1,0.002252846312511641
33,4,4,10,25,0.01,0.3,1,2,1,1,2000,1,1.4066901974019962e-08
34,4,5,10,25,0.01,0.3,1,2,1,1,2000,1,6.860820802834785e-07
35,4,6,10,25,0.01,0.3,1,2,1,1,2000,1,4.252521023918512e-12
36,4,7,10,25,0.01,0.3,1,2,1,1,2000,1,1.0181867804433481e-05
37,4,8,10,25,0.01,0.3,1,2,1,1,2000,1,6.351261135834596e-09
38,4,9,10,25,0.01,0.3,1,2,1,1,2000,1,1.2355402793884243e-08
39,4,10,10,25,0.01,0.3,1,2,1,1,2000,1,2.4291945140568275e-07
40,5,1,10,25,0.01,0.3,1,2,1,1,2000,1,5.775442197244744e-15
41,5,2,10,25,0.01,0.3,1,2,1,1,2000,1,3.8030527764378343e-38
42,5,3,10,25,0.01,0.3,1,2,1,1,2000,1,4.897496773506354e-47
43,5,4,10,25,0.01,0.3,1,2,1,1,2000,1,1.0118266537100756e-11
44,5,5,10,25,0.01,0.3,1,2,1,1,2000,1,6.07065543136458e-11
45,5,6,10,25,0.01,0.3,1,2,1,1,2000,1,5.134728944382044e-23
46,5,7,10,25,0.01,0.3,1,2,1,1,2000,1,8.573083424385165e-30
47,5,8,10,25,0.01,0.3,1,2,1,1,2000,1,3.5590796161395595e-20
48,5,9,10,25,0.01,0.3,1,2,1,1,2000,1,2.8777242392402925e-14
49,5,10,10,25,0.01,0.3,1,2,1,1,2000,1,1.0465908986066356e-28
50,6,1,10,25,0.01,0.3,1,2,1,1,2000,1,0.007738453969728451
51,6,2,10,25,0.01,0.3,1,2,1,1,2000,1,2.8588484589700813e-05
52,6,3,10,25,0.01,0.3,1,2,1,1,2000,1,1.0311213926885972e-06
53,6,4,10,25,0.01,0.3,1,2,1,1,2000,1,1.3254438329110802e-09
54,6,5,10,25,0.01,0.3,1,2,1,1,2000,1,3.1320823831973033e-09
55,6,6,10,25,0.01,0.3,1,2,1,1,2000,1,0.00027984348103441813
56,6,7,10,25,0.01,0.3,1,2,1,1,2000,1,1.7776016289576786e-06
57,6,8,10,25,0.01,0.3,1,2,1,1,2000,1,1.079689345681929e-10
58,6,9,10,25,0.01,0.3,1,2,1,1,2000,1,0.0003889342019581913
59,6,10,10,25,0.01,0.3,1,2,1,1,2000,1,3.949255617029801e-06
60,7,1,10,25,0.01,0.3,1,2,1,1,2000,1,1.385991859880235e-17
61,7,2,10,25,0.01,0.3,1,2,1,1,2000,1,2.1731689719443675e-26
62,7,3,10,25,0.01,0.3,1,2,1,1,2000,1,1.0031689192168995e-31
63,7,4,10,25,0.01,0.3,1,2,1,1,2000,1,2.2116118819754658e-26
64,7,5,10,25,0.01,0.3,1,2,1,1,2000,1,2.4405794980118108e-26
65,7,6,10,25,0.01,0.3,1,2,1,1,2000,1,1.9332474153928588e-20
66,7,7,10,25,0.01,0.3,1,2,1,1,2000,1,3.497011822337321e-26
67,7,8,10,25,0.01,0.3,1,2,1,1,2000,1,1.850458970812556e-26
68,7,9,10,25,0.01,0.3,1,2,1,1,2000,1,7.45024103596512e-29
69,7,10,10,25,0.01,0.3,1,2,1,1,2000,1,1.865460771251298e-18
70,8,1,10,25,0.01,0.3,1,2,1,1,2000,1,4.02442740302457e-09
71,8,2,10,25,0.01,0.3,1,2,1,1,2000,1,0.00019986259191863984
72,8,3,10,25,0.01,0.3,1,2,1,1,2000,1,0.0036012661010032714
73,8,4,10,25,0.01,0.3,1,2,1,1,2000,1,8.090404220515454e-05
74,8,5,10,25,0.01,0.3,1,2,1,1,2000,1,6.297768713446554e-05
75,8,6,10,25,0.01,0.3,1,2,1,1,2000,1,0.01289056208557688
76,8,7,10,25,0.01,0.3,1,2,1,1,2000,1,1.0546081886465685e-11
77,8,8,10,25,0.01,0.3,1,2,1,1,2000,1,1.8423068773945516e-05
78,8,9,10,25,0.01,0.3,1,2,1,1,2000,1,9.167713067196783e-06
79,8,10,10,25,0.01,0.3,1,2,1,1,2000,1,1.8520943598653524e-05
80,9,1,10,25,0.01,0.3,1,2,1,1,2000,1,0.8358861955474224
81,9,2,10,25,0.01,0.3,1,2,1,1,2000,1,0.14539106484434805
82,9,3,10,25,0.01,0.3,1,2,1,1,2000,1,0.19384523464715808
83,9,4,10,25,0.01,0.3,1,2,1,1,2000,1,0.33258426008790243
84,9,5,10,25,0.01,0.3,1,2,1,1,2000,1,0.10142671056196825
85,9,6,10,25,0.01,0.3,1,2,1,1,2000,1,0.09037163763575962
86,9,7,10,25,0.01,0.3,1,2,1,1,2000,1,0.004105827819588188
87,9,8,10,25,0.01,0.3,1,2,1,1,2000,1,0.006321023056975329
88,9,9,10,25,0.01,0.3,1,2,1,1,2000,1,0.11013786137067987
89,9,10,10,25,0.01,0.3,1,2,1,1,2000,1,0.3595813149590137
90,10,1,10,25,0.01,0.3,1,2,1,1,2000,1,3.6021797498249214e-05
91,10,2,10,25,0.01,0.3,1,2,1,1,2000,1,6.981620872733556e-06
92,10,3,10,25,0.01,0.3,1,2,1,1,2000,1,6.785448248176399e-06
93,10,4,10,25,0.01,0.3,1,2,1,1,2000,1,1.9577584152718795e-06
94,10,5,10,25,0.01,0.3,1,2,1,1,2000,1,2.525637863195964e-07
95,10,6,10,25,0.01,0.3,1,2,1,1,2000,1,1.9467536224372998e-05
96,10,7,10,25,0.01,0.3,1,2,1,1,2000,1,4.527390879712555e-08
97,10,8,10,25,0.01,0.3,1,2,1,1,2000,1,3.6602176013677784e-09
98,10,9,10,25,0.01,0.3,1,2,1,1,2000,1,1.0631058416564836e-05
99,10,10,10,25,0.01,0.3,1,2,1,1,2000,1,6.06657690095561e-08
